Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic,Median Household Income,% over 25 completed hs,% below poverty level,Police Killings Yes/No
NY,Norwich city,94.6,1.8,0.2,0.6,2.9,50078,85.3,15.7,
NY,Norwood village,96.1,0.3,0.5,0.7,1.1,51250,89.5,8.1,
NY,Noyack CDP,93,1.2,0.3,1.5,9.4,77988,91,11.6,
NY,Nunda village,96.7,0.9,0.2,0.3,1.7,40167,89.9,23.1,
NY,Nyack village,63.3,24,0.4,4,13.9,64464,87.7,17.6,
NY,Oak Beach-Captree CDP,97.6,0.3,0,1,8,(X),71.6,0,
NY,Oakdale CDP,96.5,1.2,0,1.3,3.9,84655,94.5,3.3,
NY,Oakfield village,95.3,1.8,0.5,0.3,3,52702,86.6,10,
NY,Ocean Beach village,100,0,0,0,1.3,58750,96.9,3.1,
NY,Oceanside CDP,92.2,1.3,0.1,2.7,9.2,95690,94.3,5.5,
NY,Odessa village,98.5,0,0,0,0.5,45278,91.6,18.5,
NY,Ogdensburg city,88.3,7.3,0.8,0.8,3.5,36135,84,23.5,
NY,Olcott CDP,96.9,0.4,0.3,0.3,2.3,57775,92.9,16.9,
NY,Old Bethpage CDP,92.1,0.2,0,6.2,3.4,117600,96.2,2.8,
NY,Old Brookville village,82.9,2,0,11.2,5.7,194205,95.5,3.8,
NY,Old Field village,89.8,0.9,0.7,6.3,2.8,208750,99,5,
NY,Old Forge CDP,97,0.4,0.7,0.3,1.2,24559,88.5,14.7,
NY,Old Westbury village,65.6,16,0.3,12.3,6.8,168750,97.4,3.2,
NY,Olean city,90.6,3.7,0.7,1.3,2.3,38450,91.5,23.7,
NY,Oneida city,94.1,1.2,2.1,0.8,1.4,60556,98.1,4.9,
NY,Oneida Castle village,94.9,0.3,1.4,0.8,0.5,51406,95.3,10.1,
NY,Oneonta city,89.6,3.5,0.2,2.4,5.9,36852,73.9,12.8,
NY,Ontario CDP,96.3,1.5,0.2,0.3,1.3,29025,88.3,20.4,
NY,Orangeburg CDP,77.3,4,0.2,13.2,10.9,80814,89.7,13.7,
NY,Orange Lake CDP,67.9,18.7,0.4,4.1,18.6,93590,90,8.3,
NY,Orchard Park village,96.2,0.9,0.4,1.1,1.8,75536,98.5,2.5,
NY,Orient CDP,96.1,1.1,0.1,0.8,2.2,75375,97.1,1.8,
NY,Oriskany village,97.9,0.6,0.1,0,0.9,46394,95.1,6.6,
NY,Oriskany Falls village,96.4,0.5,0,1,0.5,54063,89.8,8.7,
NY,Ossining village,54.6,17.2,0.6,4.2,41.4,61746,72.1,13.8,
NY,Oswego city,94.8,1.3,0.3,1.2,4.4,41172,90.8,13.1,
NY,Otego village,93.5,1.6,0.1,1.3,2.6,55202,92.9,9.8,
NY,Otisville village,88.7,6.7,0.2,2.1,11.2,33871,84.1,16.8,
NY,Ovid village,93.7,1.7,0.2,0.8,2.3,43384,89.2,19.2,
NY,Owego village,93.8,1.7,0.3,1.5,2.4,47760,92.5,13.4,
NY,Oxbow CDP,98.1,0,0,0,0,(X),88,8.3,
NY,Oxford village,96.8,0.5,0.1,0.2,2.5,60219,92.4,13.6,
NY,Oyster Bay CDP,85,3.3,0.3,2.9,16.7,91453,91.5,3.6,
NY,Oyster Bay Cove village,88.8,1.6,0,8.5,2.2,210288,97.6,0.5,
NY,Painted Post village,95.1,1.9,0.3,0.9,0.8,51458,91.4,7.2,
NY,Palatine Bridge village,98,0.1,0.1,0.5,1.6,39000,85.5,11.7,
NY,Palenville CDP,96,0.8,0.1,1.4,3.4,50106,97.5,6.1,
NY,Palmyra village,96.6,0.9,0.4,0.4,1.1,35625,84.6,18.8,
NY,Pamelia Center CDP,90.2,1.5,0.8,5.7,1.1,85986,100,2.2,
NY,Panama village,97.7,0.2,0.6,0.4,1.9,40000,88.6,17.9,
NY,Parc CDP,72,23.2,1.2,0.8,7.5,-,50,0,
NY,Parish village,97.3,0.9,0,0.7,1.6,54444,93.1,13.4,
NY,Parishville CDP,98.3,0.2,0.3,0.2,0.9,50036,92.7,17.6,
NY,Patchogue village,76.2,5.8,0.5,1.6,29.6,68117,85.9,15.1,
NY,Paul Smiths CDP,92.8,3.6,0.7,1,2.5,-,100,-,
NY,Pavilion CDP,98,1.2,0.5,0,0.5,64250,97,2.9,
NY,Pawling village,83.6,2.3,0.8,3.7,16.5,56000,87.8,11.2,
NY,Peach Lake CDP,96.6,0.3,0.1,1,4.5,113375,97.4,6.1,
NY,Pearl River CDP,92.6,0.8,0.2,3.8,7,40093,68.5,20.9,
NY,Peconic CDP,90,4.2,0,0.1,10.2,66442,85,0,
NY,Peekskill city,51.3,23.6,0.6,3,36.9,52125,80.8,11.8,
NY,Pelham village,76.9,9.5,0.1,6,12.3,123672,92.7,2.9,
NY,Pelham Manor village,89.6,2.1,0,4.3,7.2,188659,97.6,2.8,
NY,Penn Yan village,95.7,1.1,0.2,0.6,2.7,33586,86.1,26.3,
NY,Perry village,97,0.7,0.3,0.2,2.4,28542,93.3,24,
NY,Perrysburg village,90.8,1.7,3.7,0.2,1,#N/A,#N/A,#N/A,
NY,Peru CDP,97.2,0.9,0.1,0.8,2.1,69713,96.2,7.5,
NY,Phelps village,96.5,0.4,0.4,0.4,2.4,51992,94.1,11.4,
NY,Philadelphia village,84.2,6.5,0.4,1.5,6.2,46071,88.6,17.6,
NY,Philmont village,92.1,1.9,0.1,0.7,3.1,43188,81.6,19.9,
NY,Phoenicia CDP,96.1,0,0,1,1.9,37586,100,5.6,
NY,Phoenix village,96.1,0.8,0.7,0.5,1.3,31117,81.8,35.1,
NY,Piermont village,86.1,3.3,0,6.1,9.9,92445,94.9,5.6,
NY,Pierrepont Manor CDP,100,0,0,0,1.3,61129,94.9,0,
NY,Piffard CDP,91.4,3.2,0.9,0,2.7,55750,91.1,2.3,
NY,Pike CDP,99.2,0,0,0.3,1.9,(X),93.6,39.8,
NY,Pine Bush CDP,90.8,2.5,0.1,1.6,9.2,38405,89.8,11.3,
NY,Pine Hill CDP,91.6,1.5,0.4,0.4,9.5,52938,91,14.4,
NY,Pine Plains CDP,91.6,0.7,0.2,1.1,8.4,60167,88.3,8.4,
NY,Pine Valley CDP,96.3,0.6,0,0.7,2,100321,97.6,9.1,
NY,Pittsford village,96.9,0.7,0.1,1.2,2.4,84135,97.1,5.1,
NY,Plainedge CDP,92,0.8,0.2,4.5,7.8,108287,93.2,2.7,
NY,Plainview CDP,86.6,0.5,0.1,10.7,4,25568,35.2,66.8,
NY,Plandome village,94.7,0.8,0.1,3.6,2.2,"250,000+",99.4,3.8,
NY,Plandome Heights village,89.2,0.2,0.2,8.6,4.5,213000,98.1,2.7,
NY,Plandome Manor village,91.5,0.1,0,6.1,2.5,170625,96,1.7,
NY,Plattekill CDP,64.5,11,0.2,0.2,44.4,33892,79,25.9,
NY,Plattsburgh city,89.9,3.5,0.4,2.8,3.4,37346,88.7,25.3,
NY,Plattsburgh West CDP,95.1,1.5,0.3,0.5,1.6,40363,75.8,24.7,
NY,Pleasant Valley CDP,94,2.5,0.1,1,3.8,68929,100,11.9,
NY,Pleasantville village,85.7,4.2,0.1,4.5,11.7,105625,95,2.1,
NY,Plessis CDP,97.6,0.6,0.6,0,3.7,83313,100,0,
NY,Poestenkill CDP,98.2,0.1,0.3,0.2,1.1,71932,85.8,0.3,
NY,Point Lookout CDP,97.8,0.5,0,1,3.2,111534,97.7,0,
NY,Poland village,98.4,0.4,0.6,0,1,61750,94.4,7.3,
NY,Pomona village,66,19.1,0.2,9.3,7.1,128661,91.7,8,
NY,Poquott village,88.2,2,0.4,6.6,4.2,120417,96.6,3.6,
NY,Port Byron village,95.1,1.4,0.2,0,2.9,74792,96.1,9.4,
NY,Port Chester village,61.1,6.5,0.9,2.1,59.4,55437,68.3,13.3,
NY,Port Dickinson village,95.1,2,0,0.6,1.1,49777,96.5,11,
NY,Port Ewen CDP,89.9,4,0.2,1.6,3.8,56738,89.9,5.1,
NY,Port Gibson CDP,95.1,2.6,0.4,0,1.5,58854,64.6,8.9,
NY,Port Henry village,97.9,0.3,0,0.3,2.9,33571,85.7,19.5,
NY,Port Jefferson village,88.5,1.6,0.2,6.1,6.5,110681,98.3,5.4,
NY,Port Jefferson Station CDP,85.2,2.5,0.1,5.4,14.8,86360,92.8,14.2,
NY,Port Jervis city,82.2,7.4,0.7,1.3,11.9,41682,83.2,17.2,
NY,Port Leyden village,98.2,1,0,0,0.3,30735,88.2,26.2,
NY,Portville village,96.3,1.2,0.2,0.1,1.4,51010,92,15,
NY,Port Washington CDP,82.2,2.4,0.2,8,13.4,106005,93,3.5,
NY,Port Washington North village,86.4,1.6,0.1,8.3,6.3,106902,96.8,2.4,
NY,Potsdam village,88.9,2.8,0.4,4.9,2.9,36300,92.5,28.8,
NY,Pottersville CDP,97.9,0.2,0,0.9,0.7,(X),79.9,72.7,
NY,Poughkeepsie city,50.9,33.5,0.9,1.6,19.5,38919,79.6,24.1,
NY,Prattsburgh CDP,96.6,1.8,0.2,0.2,1.4,38988,79.6,13.9,
NY,Prattsville CDP,98.6,0,0.3,0,0.6,42639,71.2,28.9,
NY,Preston-Potter Hollow CDP,97,1.4,0,0.3,0.8,50875,82.5,7.9,
NY,Prospect village,98.6,0,0,1.4,0,47143,92.9,6.1,
NY,Pulaski village,97.3,0.8,0.5,0.4,1.6,19750,72.8,15.9,
NY,Pultneyville CDP,96.6,1,0.6,0.1,0.9,74444,97.9,0,
