Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic,Median Household Income,% over 25 completed hs,% below poverty level,Police Killings Yes/No
IN,Laconia town,98,0,0,2,0,68286,86.2,19.5,
IN,La Crosse town,99.5,0.2,0,0,1.8,41806,87.9,24.1,
IN,Ladoga town,98.4,0.1,0,0.3,1,49583,91.3,16.7,
IN,Lafayette city,83.6,6.2,0.4,1.4,12.1,137895,98.3,4.9,
IN,La Fontaine town,98.5,0.1,0.2,0,1.1,40089,84.2,16.5,
IN,Lagrange town,93.7,0.6,0.4,0.4,9.5,18750,53.3,46.7,
IN,Lagro town,96.9,0,1.7,0.5,0,30000,79.4,32.9,
IN,Lake Dalecarlia CDP,97.3,0.2,0.1,0.1,3.4,57212,98.6,3.9,
IN,Lake Holiday CDP,99.5,0.2,0,0,0.4,77879,96.7,5.2,
IN,Lake Santee CDP,97.1,1.2,0.1,0.1,1.5,91577,93.5,0,
IN,Lakes of the Four Seasons CDP,93.4,1.2,0.2,1,8.5,91472,94.8,3.2,
IN,Lake Station city,79.7,3.6,0.5,0.3,28,39309,78.5,26.1,
IN,Laketon CDP,96,1.4,1.1,0,1.9,35357,78,37.6,
IN,Lake Village CDP,96.9,0.8,0.5,0.4,2.6,38417,89.4,4.2,
IN,Lakeville town,97.5,0.1,0.4,0,3.2,40625,86.7,27.8,
IN,Landess CDP,97.3,0,0,0,2.7,(X),96.3,2.7,
IN,Lanesville town,98.2,0.4,0,0.2,0.9,48672,97.9,7.3,
IN,La Paz town,97.9,0.2,0.2,0.2,4.3,45500,79.9,13.6,
IN,Lapel town,97.7,0.2,0.3,0.2,0.8,44028,95.8,11,
IN,La Porte city,88.6,3,0.3,0.5,11.2,34900,84.4,21.7,
IN,Larwill town,98.9,0,0,0,0,34375,85.6,23.7,
IN,Laurel town,98.4,0.2,0.6,0,2.5,33525,77.8,34.7,
IN,Lawrence city,63.2,25.8,0.4,1.4,11.2,48731,86.1,18.8,
IN,Lawrenceburg city,93.5,3,0.3,0.8,1.2,38428,80.5,15.4,
IN,Leavenworth town,95,2.5,0,0,1.3,37708,78.6,23.2,
IN,Lebanon city,96.1,0.5,0.2,0.6,3.1,64712,93.6,18.3,
IN,Leesburg town,91.7,0.2,0.2,2.3,7.7,41397,80.5,18,
IN,Leo-Cedarville town,97.1,0.1,0.2,0.8,1.6,76538,95.1,2.8,
IN,Lewisville town,99.5,0,0,0,1.4,34063,86.4,21.6,
IN,Liberty town,96.8,0.8,0.3,0.4,1.5,38173,85.5,16,
IN,Ligonier city,69.6,0.4,0.2,0.5,51.5,38953,53.9,15.7,
IN,Linden town,97.1,0.5,0.9,0,1.7,46250,84,15.2,
IN,Linton city,97.7,0.1,0.3,0.4,1.2,36433,81.4,18,
IN,Little York town,97.9,0,0,0,1.6,44063,77.8,20.1,
IN,Livonia town,99.2,0,0,0,0,46250,85.7,5.3,
IN,Lizton town,97.3,0,0,0.4,1.4,49375,89.7,14.1,
IN,Logansport city,80.7,2.3,0.8,1.7,21.6,32982,72.2,21.5,
IN,Long Beach town,96.8,1.4,0.3,1.1,0.6,77250,98.2,1.4,
IN,Loogootee city,98.3,0.1,0.2,0.3,0.8,39070,83.3,20,
IN,Losantville town,97,0,0.4,0,0,30938,68,12.1,
IN,Lowell town,95.9,0.5,0.4,0.3,6.9,62403,90.6,7.3,
IN,Lynn town,97.7,0.5,0.1,0.7,1.9,33452,74.8,27.9,
IN,Lynnville town,98.9,0.1,0.2,0,0.8,57639,92.1,7.2,
IN,Lyons town,98.1,0.1,0.5,0.3,1.5,85577,97.6,7.8,
IN,McCordsville town,83.2,10.3,0.3,2.3,4.4,83479,99.2,1.3,
IN,Mackey town,98.1,0,0,0,0,31750,83.6,42.4,
IN,Macy town,98.1,0.5,0.5,0,0,35833,81.7,15.2,
IN,Madison city,93.5,2.8,0.2,1.2,1.7,92960,95.7,6.7,
IN,Manilla CDP,96.3,0,0.4,1.1,2.6,78214,86.9,27.1,
IN,Marengo town,95.4,0.1,0.8,0,2.1,23929,73.7,39.1,
IN,Marion city,78.1,14.7,0.4,0.7,5.5,31029,81.4,33,
IN,Markle town,98.3,0.8,0,0.2,1.2,48409,95.1,8.7,
IN,Markleville town,97.9,0.2,0,0.2,0.9,46875,91.9,8,
IN,Marshall town,98.5,0,1.2,0,1.2,41607,95.1,16.9,
IN,Martinsville city,97.5,0.2,0.3,0.4,1.3,38565,87.4,17.6,
IN,Matthews town,98,0.8,0.2,0,0.2,33125,78.3,18.9,
IN,Mauckport town,100,0,0,0,0,33393,82.4,6.8,
IN,Mecca town,97.6,0,0,0.3,0.9,35000,73.5,29.9,
IN,Medaryville town,94.8,0,0.2,0,6.4,33214,70,22.2,
IN,Medora town,97.3,0.1,0.1,0,1,28333,81.3,25.6,
IN,Mellott town,99,0,0,0,2.5,28333,78.6,20.7,
IN,Melody Hill CDP,93.9,3.4,0.1,1.2,1.5,75436,96,3.9,
IN,Memphis CDP,96.5,1.7,0,0,1.4,41788,80.8,24.3,
IN,Mentone town,94.1,0.3,0.8,0,4.8,38750,87.5,10.9,
IN,Meridian Hills town,95.9,1.2,0.1,1.1,1.7,119830,99,5.7,
IN,Merom town,100,0,0,0,0.4,30000,87.5,26.1,
IN,Merrillville town,46.4,44.5,0.2,1.2,12.9,52810,91.2,13.9,
IN,Metamora CDP,93.6,0,0.5,0,5.3,23750,44,0,
IN,Mexico CDP,97.2,0.2,1.3,0.1,0.8,49397,88,0,
IN,Michiana Shores town,97.4,0,0.3,0,2.9,76875,94.6,9,
IN,Michigan City city,64.9,28.1,0.4,0.7,5.9,35503,84.3,27.8,
IN,Michigantown town,97.9,0.4,0,0.4,2.6,50833,90,5.3,
IN,Middlebury town,95.6,0.6,0.1,1.2,3.2,57091,86.1,9.8,
IN,Middletown town,97.6,0.3,0.1,0.5,0.8,84451,93.3,5.4,
IN,Mier CDP,98.7,0,0,0,1.3,60500,100,0,
IN,Milan town,97.7,0.3,0.2,0.1,0.8,49737,82.3,8.9,
IN,Milford town,88.3,0.7,0.3,0.3,12.4,38598,79.1,21.6,
IN,Millersburg town,97,0.6,0.9,0,4.4,45789,76.2,9.4,
IN,Millhousen town,99.2,0,0,0,0,73438,96.3,1.9,
IN,Milltown town,97.7,0,0.1,0.4,0,30586,78.5,11.9,
IN,Milroy CDP,96.9,0.2,1.2,0.2,1.8,39406,62,34,
IN,Milton town,98.4,0.2,1.2,0,0.8,46643,88.9,12.6,
IN,Mishawaka city,86.1,6.9,0.4,1.9,4.5,38143,86.1,19.3,
IN,Mitchell city,97.6,0.4,0.2,0.3,1.4,34576,80.5,14.7,
IN,Modoc town,94.9,0.5,0,0,1.5,40833,79.7,16.5,
IN,Monon town,77.2,0.6,0.4,0.2,28.4,35542,74.5,31.1,
IN,Monroe town,99,0,0,0.2,2.3,48750,90.4,3.3,
IN,Monroe City town,98.7,0.6,0.2,0,0.7,61364,94.4,7,
IN,Monroeville town,98.9,0,0,0,1.9,42632,88.7,12,
IN,Monrovia town,97.3,1.4,0.1,0.6,1.2,59750,88.8,11.7,
IN,Monterey town,97.7,0.5,0.5,0,9.6,50938,88.5,3.9,
IN,Montezuma town,96.1,0.2,0.4,0.5,4.3,58750,100,3.5,
IN,Montgomery town,99.4,0,0,0,0.6,41250,84,12.8,
IN,Monticello city,90.8,0.4,0.4,0.8,12.5,25123,81.6,39.2,
IN,Montmorenci CDP,98.8,0,0.4,0.4,0.4,85179,81.9,0,
IN,Montpelier city,97.9,0.3,0.3,0.1,0.9,37316,90.1,23.1,
IN,Mooreland town,97.3,0,0,0,1.6,32250,87.6,25.7,
IN,Moores Hill town,97.8,0.2,0,0.2,0.3,42875,75.4,28.3,
IN,Mooresville town,97.5,0.3,0.2,0.5,1.1,99375,83.1,0,
IN,Morgantown town,98.5,0.1,0.4,0.2,0.4,37009,84.6,11.8,
IN,Morocco town,99.1,0.1,0.1,0.2,2.2,43359,81,14.6,
IN,Morristown town,98.6,0.1,0.7,0.1,1.3,46875,84.7,11.2,
IN,Mount Auburn town,98.3,0,0,0.9,0,42500,90,14.2,
IN,Mount Ayr town,97.5,0,0,0,5.7,35625,71,6.3,
IN,Mount Carmel town,97.7,0,0,0,0,36042,61.8,32.8,
IN,Mount Etna town,96.8,0,0,0,2.1,44000,90.9,1,
IN,Mount Summit town,97.2,0,0.3,0,2.3,50625,86.5,13.5,
IN,Mount Vernon city,93.4,2.8,0.3,0.4,1.7,30417,83,25.7,
IN,Mulberry town,98.4,0.2,0.4,0,1,47500,81.9,11.1,
IN,Muncie city,84,10.9,0.3,1.2,2.3,31044,86.4,32.2,
IN,Munster town,85.6,3.5,0.2,5.8,10.2,70503,93.7,8.6,
IN,Napoleon town,100,0,0,0,1.3,37500,82.7,15.3,
IN,Nappanee city,94.8,0.7,0.3,0.2,6.2,48918,82.2,10.9,
IN,Nashville town,98.1,0.4,0.2,0.1,0.7,39280,85.8,21.8,
IN,New Albany city,85.8,8.7,0.2,0.7,3.7,40413,84.6,21.6,
IN,New Amsterdam town,85.2,0,0,0,11.1,83750,91.7,0,
IN,Newberry town,97.9,0,1,0,2.6,43750,84.2,13.7,
IN,Newburgh town,94.2,1.4,0.1,2,2,50089,94.9,8.3,
IN,New Carlisle town,96,0.8,0.6,0.4,1.3,53684,91.6,8.4,
IN,New Castle city,95.1,1.9,0.2,0.4,1.7,56307,88.8,13.7,
IN,New Chicago town,81,2.2,0.7,0.7,27.4,38879,77.3,22.3,
IN,New Goshen CDP,98.5,0,0,0,0,65897,94,0,
IN,New Harmony town,99,0,0.3,0.1,0,48036,85.6,7.4,
IN,New Haven city,93.2,3.3,0.4,0.4,3.1,37192,83,26.6,
IN,New Market town,99.1,0,0,0.2,0.9,56250,92.9,7.5,
IN,New Middletown town,95.7,2.2,0,0,0,61250,89.5,33.3,
IN,New Palestine town,97.8,0,0.2,0.6,1,65947,95.6,6.9,
IN,New Paris CDP,98.1,0.1,0.2,0.1,3.2,36567,90.4,8.9,
IN,New Pekin town,97.1,0.6,0.2,0.1,2.4,32283,72.5,28,
IN,New Point town,99.4,0,0,0.3,0.6,41389,83.7,7.6,
IN,Newport town,99.8,0,0,0,0,36538,74.1,32.1,
IN,New Richmond town,97,0,0,0.3,0.6,51250,87.1,7.3,
IN,New Ross town,96.8,0,0,0,1.7,52083,82.7,21.6,
IN,New Salisbury CDP,97.9,0.7,0.2,0.7,0.7,49667,100,10.9,
IN,Newtown town,95.3,2,0.8,0,1.6,58125,92.6,12.1,
IN,New Trenton CDP,98.8,0,0,0,0.4,57944,81.4,7.3,
IN,New Washington CDP,99.1,0.2,0,0,0.9,70227,100,10.6,
IN,New Whiteland town,96.6,0.4,0.1,1,2,53844,94.8,6,
IN,Noblesville city,91.1,3.6,0.2,1.7,4.3,69841,94.4,6.9,
IN,North Crows Nest town,100,0,0,0,0,"250,000+",97,13,
IN,North Judson town,96.7,0.1,0.3,0.2,7.3,37202,85.4,21,
IN,North Liberty town,96.2,0.5,0.4,0.4,2.5,38333,88.2,25.1,
IN,North Manchester town,95.2,1.1,0.3,0.8,3.8,42281,90,15.1,
IN,North Salem town,98.1,0.2,0,0.4,0.6,41818,84.1,8.5,
IN,North Terre Haute CDP,95,1.9,0.2,0.5,1.2,45085,88.3,13.1,
IN,North Vernon city,95,1.5,0.2,0.4,2.4,38725,82.6,24.4,
IN,North Webster town,96.3,0.6,0.1,0.3,2.5,40352,85.5,13.7,
IN,Norway CDP,97.9,0,0.3,0.8,3.1,48233,82.3,5.4,
IN,Notre Dame CDP,84,2.8,0.2,7.4,9.9,(X),98.5,80.1,
IN,Oakland City city,97.2,0.4,0.2,0.6,2,35125,78.9,14,
IN,Oaktown town,98,0.7,0,0.5,2.3,37574,89,17.5,
IN,Odon town,98.3,0,0.6,0.3,0.3,30714,87.7,18.4,
IN,Ogden Dunes town,96.1,1.1,0.1,1.3,3.2,101250,99.3,3.8,
IN,Oldenburg town,98.5,0.1,0,0,1.9,58906,92.9,21.4,
IN,Onward town,98,0,0,2,0,27639,92.6,21.8,
IN,Oolitic town,98.7,0.3,0,0.3,1,45921,82.8,22.1,
IN,Orestes town,95.7,0.2,0.5,0,4.8,42344,84.9,23,
IN,Orland town,96.3,1.2,0,0,9,42188,86.6,10.3,
IN,Orleans town,98.6,0.1,0.3,0.4,0.6,33051,76.8,24.4,
IN,Osceola town,95.5,1.4,0.2,0.7,2.1,59832,85.9,5.3,
IN,Osgood town,98.2,0.1,0.2,0,1.3,41010,77.4,10.2,
IN,Ossian town,97.4,0.2,0.1,0.5,1.4,52857,92.2,13.9,
IN,Otterbein town,96.8,0.7,0.3,0.1,3.1,43594,85.5,19.7,
IN,Otwell CDP,97.7,0.7,0,0.2,2.1,(X),70.1,10.6,
IN,Owensburg CDP,98.5,0,0,1,0.2,(X),88.6,16.6,
IN,Owensville town,97.9,0.2,0.7,0.2,1.2,40129,89.2,9.5,
IN,Oxford town,98.4,0.1,0.5,0.1,0.7,45682,84.1,10.9,
IN,Painted Hills CDP,98.4,0.1,0,0.1,1.6,52313,97.4,4.7,
IN,Palmyra town,96.1,0.1,0.2,1.6,1,42381,92.7,16.4,
IN,Paoli town,97.7,0.3,0.2,0.3,1.3,29750,39.3,3.2,
IN,Paragon town,97.4,0.2,0,0,0.9,35625,78.3,31,
IN,Parker City town,97.7,0.5,0.4,0,0.4,38589,85,18.3,
IN,Parkers Settlement CDP,98.6,0.4,0,0.8,0.3,63958,91.7,0.8,
IN,Patoka town,95.8,1.1,0.4,0.3,1,39714,87.8,16,
IN,Patriot town,98.1,0,0.5,0.5,1.4,41250,74.3,23.3,
IN,Pendleton town,96.6,1,0.3,0.8,1,54198,92.5,6.7,
IN,Pennville town,97.1,0,0,0.4,3.6,36719,82.4,18.9,
IN,Perrysville town,98.2,0.4,0,0.2,0.2,39706,93.6,14.8,
IN,Peru city,93.1,2.5,1.3,0.4,2.4,46126,92.6,8.9,
IN,Petersburg city,97.7,0.5,0.3,0.5,0.9,36071,86.7,21.7,
IN,Pierceton town,96.8,0,0.3,0.2,6.1,46875,83.5,18.1,
IN,Pine Village town,99.1,0,0,0.9,0.5,36500,89.7,9.3,
IN,Pittsboro town,96.7,0.4,0.4,0.7,1.4,78047,92.5,5.2,
IN,Plainfield town,85.2,7.9,0.2,3.3,4,59951,91.4,8.9,
IN,Plainville town,97.7,0.4,0,1.1,0.4,39226,79.3,13.9,
IN,Plymouth city,87.2,0.9,0.6,0.5,20,44844,90.8,16,
IN,Point Isabel CDP,86.8,0,0,0,9.9,69271,100,0,
IN,Poneto town,99.4,0,0.6,0,1.8,45625,89.6,17.4,
IN,Portage city,83.6,7.3,0.4,0.9,16.4,53730,88.2,16.3,
IN,Porter town,94.3,1.1,0.3,0.9,6.6,76053,90.6,13,
IN,Portland city,94.5,0.4,0,0.5,5.8,29375,85.7,28.1,
IN,Poseyville town,98.9,0,0.3,0.2,0.2,45750,88,13.8,
IN,Pottawattamie Park town,92.3,7.2,0,0,0.4,87188,94.8,10.2,
IN,Princes Lakes town,98.8,0.2,0.4,0.3,0.9,67500,90.8,7.5,
IN,Princeton city,90.4,4.6,0.2,0.7,2.5,44722,93.3,16.5,
IN,Purdue University CDP,69.9,3.7,0.1,23,3.6,#N/A,#N/A,#N/A,
IN,Raglesville CDP,100,0,0,0,0.7,-,0,0,
IN,Ragsdale CDP,100,0,0,0,1.6,83203,91.6,8.3,
IN,Redkey town,98.2,0.2,0,0.2,1.4,35417,90.9,22.5,
IN,Remington town,96.5,0.6,0.1,0.3,3.1,47635,83.3,15.5,
IN,Rensselaer city,95.4,0.7,0.4,0.4,5.4,43560,83.2,16.9,
IN,Reynolds town,91.4,0.2,2.1,0,9.9,50167,86.9,6.2,
IN,Richland town,98.6,0.2,0.5,0,1.2,50938,90.8,5.4,
IN,Richmond city,83.9,8.6,0.3,1.1,4.1,55102,77.1,17.5,
IN,Ridgeville town,97.4,0,0.4,0.4,0.6,20625,69.6,35.9,
IN,Riley town,97.7,0.5,0.5,0,0.5,43333,91.1,6.4,
IN,Rising Sun city,97.8,0.7,0.1,0.4,1.8,37596,84.9,12.3,
IN,River Forest town,100,0,0,0,0,(X),100,0,
IN,Roachdale town,99.2,0,0,0,0.4,40395,83.6,23.3,
IN,Roann town,98.5,0,0.6,0.4,0,40156,82.8,31.3,
IN,Roanoke town,97.1,0.2,0.1,0.5,1.7,65694,96.5,7,
IN,Rochester city,95.9,0.6,0.4,0.9,3.4,36692,86,18.7,
IN,Rockport city,95.9,1.8,0.2,0.3,2.6,40605,83.7,17.6,
IN,Rockville town,98.7,0.1,0.5,0.2,0.7,26035,89.4,24.3,
IN,Rocky Ripple town,89.1,6.1,0.5,0.8,2.5,50417,94.8,17,
IN,Rolling Prairie CDP,98.3,0.3,0.2,0.2,1.2,81250,100,26.8,
IN,Rome City town,98.8,0.4,0.2,0.1,1.1,47917,86.2,16.1,
IN,Rosedale town,98.2,0,0.1,0,1.1,32938,96.1,22.8,
IN,Roseland town,87.5,2.7,1,4.6,5.1,36375,90.5,23.3,
IN,Roselawn CDP,94.2,0.3,0.1,0.7,9.2,51490,85.8,8.8,
IN,Rossville town,97.5,0.4,0.2,0.5,0.8,48580,88.6,14.8,
IN,Royal Center town,97.4,0.8,0.3,0.5,1.3,39500,88.6,26.2,
IN,Rushville city,95.8,1.5,0.1,0.6,1.2,40278,86.1,18.1,
IN,Russellville town,97.5,0,1.1,0,0.3,33958,84.6,23.2,
IN,Russiaville town,98.6,0.2,0.2,0.2,1.3,51034,93.8,10.6,
IN,St. Bernice CDP,98.8,0,0.5,0,0.3,42337,91.3,12.7,
IN,St. Joe town,95.9,0,0,0.9,3.7,32813,76.6,37.1,
IN,St. John town,93.5,1.3,0.1,1.3,8.2,95777,97.1,2.9,
IN,St. Leon town,98.1,0.1,0,0.6,0.3,54375,91.8,3.3,
IN,St. Mary of the Woods CDP,94.6,1.4,0.3,2.6,1.4,19375,89.1,19.6,
IN,St. Meinrad CDP,97,0.3,0.6,0.7,0.6,53472,92.3,24.9,
IN,St. Paul town,98.3,0.3,0.1,0,1.5,31750,72.3,18.9,
IN,Salamonia town,98.7,0,0.6,0,0.6,30000,79.8,31.5,
IN,Salem city,97.5,0.4,0.3,0.6,1,24330,77.8,29.1,
IN,Salt Creek Commons CDP,94.2,1,0.5,1.6,8.3,62644,91.4,7.5,
IN,Saltillo town,98.9,0,0,0,1.1,(X),62,38,
IN,Sandborn town,98.6,0.2,1,0,0.7,41563,82.4,6,
IN,San Pierre CDP,97.2,0,0.7,0,0,40500,100,0,
IN,Santa Claus town,98.1,0.3,0.1,0.5,1.3,71979,95.9,3,
IN,Saratoga town,98.8,0,0,0,2,25893,72.3,15.7,
IN,Schererville town,86.8,5.4,0.2,2.8,10.6,65661,92.7,5.9,
IN,Schneider town,97.1,0,1.1,1.1,2.5,39583,87,17.6,
IN,Scipio CDP,100,0,0,0,0.7,(X),84.1,0,
IN,Scotland CDP,99.3,0,0,0.7,2.2,(X),83.8,0,
IN,Scottsburg city,97.2,0.3,0.2,0.9,1.8,41007,84.1,26.5,
IN,Seelyville town,97.8,0.4,0.2,0.2,0.9,39667,91.3,21.8,
IN,Sellersburg town,94.2,0.8,0.3,0.3,5.5,63611,91.5,8.2,
IN,Selma town,97.2,0.7,0.5,0.2,0.9,40096,91.3,12.3,
IN,Seymour city,90.3,1.3,0.2,1.2,11.5,44310,85.4,17.1,
IN,Shadeland town,96,0.4,0.6,0.5,3.3,66179,93.1,4.4,
IN,Shamrock Lakes town,98.7,0,0,1.3,0,73750,95.8,6.5,
IN,Sharpsville town,97.5,0.2,0,0,2,55341,90.2,8.9,
IN,Shelburn town,96.2,0,0.5,0.6,1.2,32400,76.2,27.2,
IN,Shelby CDP,95.5,1.7,0.7,0.2,0.9,45139,78.9,36.8,
IN,Shelbyville city,91.9,1.9,0.2,1,7.1,38359,92.2,11.5,
IN,Shepardsville CDP,99.6,0.4,0,0,0,95313,90.7,1.6,
IN,Sheridan town,95.3,0.8,0.3,0.4,3.3,42935,87.6,17.6,
IN,Shipshewana town,98.3,0.2,0.5,0.2,0.8,40083,72.3,12.8,
IN,Shirley town,97.7,0.6,0.6,0.4,0.4,25313,88.1,33.3,
IN,Shoals town,97.4,0.3,0.1,0.3,1.3,29250,76.5,16.4,
IN,Shorewood Forest CDP,89.4,3.8,0,4,3.7,107557,96.8,3.2,
IN,Sidney town,100,0,0,0,3.6,31250,89.2,45.3,
IN,Silver Lake town,97.7,0.9,0.2,0.2,1.9,40000,84.5,19.5,
IN,Simonton Lake CDP,87.8,4.9,0.3,2.8,4.7,56353,87.9,15.6,
IN,Sims CDP,95.5,0,0.6,0.6,4.5,(X),100,24.7,
IN,Smithville-Sanders CDP,95.9,1,0.1,1.1,1.3,66851,93.6,3.5,
IN,Somerset CDP,98.5,0,0,0.2,0.7,68750,98.9,8.8,
IN,Somerville town,98.6,0.3,0.3,0,2.4,40417,78.4,18.7,
IN,South Bend city,60.5,26.6,0.5,1.3,13,34523,83.5,28.3,
IN,South Haven CDP,91.3,3,0.2,0.3,9.8,51310,86.9,14.6,
IN,Southport city,94.1,1.8,0.1,1.1,3.4,54828,88.9,11.8,
IN,South Whitley town,98,0.2,0.1,0.2,1.9,43438,91.1,12.3,
IN,Speedway town,74.2,16.7,0.3,2,7.6,37861,86.9,19.9,
IN,Spencer town,98.1,0.1,0.2,0.5,2.1,29926,81.1,21,
IN,Spiceland town,98.5,0.1,0,0.2,0.7,39808,94.5,14.2,
IN,Spring Grove town,89.2,5.5,0,1.2,0.9,61406,80.2,10.6,
IN,Spring Hill town,78.6,17.3,1,0,0,96250,96.5,0,
IN,Spring Lake town,95.9,0.5,0.5,0,0.9,64375,96.9,3.9,
IN,Springport town,96.6,0,0,0,0,37500,91.1,18.6,
IN,Spurgeon town,95.7,0,0,0,3.4,40833,91.7,8.2,
IN,Star City CDP,99.7,0,0,0,0.3,28125,100,0,
IN,State Line City town,98.6,0.7,0,0,0.7,48750,84.1,4.8,
IN,Staunton town,98.3,0,0,0,2.1,43594,88.8,10.1,
IN,Stilesville town,98.7,0.3,0,0,2.8,33750,89.3,10.7,
IN,Stinesville town,97.5,0,0,0,2,22917,72,20.8,
IN,Stockwell CDP,96.3,0.2,0.2,0.7,2.6,60459,97.7,0,
IN,Straughn town,99.5,0,0,0,0.5,33333,86,36,
IN,Sullivan city,97.7,0.1,0.4,0.2,1.4,38351,88,20.1,
IN,Sulphur Springs town,98.7,0,0,0,0,39107,95.7,14.4,
IN,Summitville town,96.6,0.7,0.1,0,2.1,40594,86.5,13.4,
IN,Sunman town,95.1,0.6,0,0.2,7.9,36774,83.8,20.2,
IN,Swayzee town,97.7,0.3,0.3,0.1,1.3,50700,93.1,12.4,
IN,Sweetser town,95.2,0.4,0.7,0.3,4.5,53485,94.8,12.4,
IN,Switz City town,97.3,0.7,0.7,0.3,2,25833,84.5,35.1,
IN,Syracuse town,95.7,0.6,0.1,0.7,5.2,45518,80.4,14.2,
IN,Taylorsville CDP,96.2,1.1,0.2,0.4,2.9,95227,100,0,
IN,Tecumseh CDP,97.3,0,0.2,1.5,1.1,66216,98.7,6.9,
IN,Tell City city,97.5,0.3,0.3,0.7,1,41900,87.8,16.6,
IN,Tennyson town,99.3,0.4,0,0,2.2,35833,72,24.1,
IN,Terre Haute city,83.5,10.9,0.4,1.4,3.1,31817,84.4,27.4,
IN,Thorntown town,99.1,0.1,0.2,0,0.7,47596,85.7,14,
IN,Tipton city,97.1,0.1,0.2,0.6,2.7,39099,84.3,13.7,
IN,Toad Hop CDP,99.1,0,0,0,0.9,-,100,0,
IN,Topeka town,94.4,0.3,0,1,3.6,45833,62.3,23.9,
IN,Town of Pines town,93.9,2.3,0.4,0.3,3.1,43214,85.6,25.4,
IN,Trafalgar town,96.3,0.9,0.9,0.5,1,58869,92.3,5.4,
IN,Trail Creek town,91.2,5.5,0.2,0.6,3.3,68148,94.5,9.6,
IN,Tri-Lakes CDP,97.8,0.1,0.2,0.1,1.1,57031,97.1,1.2,
IN,Troy town,98.4,0,0,0,1.3,34792,84.7,11,
IN,Ulen town,100,0,0,0,0.9,123750,100,1.6,
IN,Union City city,87.6,1.1,0.1,0.1,12.8,85521,87.8,8.1,
IN,Uniondale town,96.8,0.3,0.3,1.9,1,52500,77.7,18.9,
IN,Universal town,99.4,0.3,0,0,1.7,29688,80.3,16.5,
IN,Upland town,94.6,1.6,0.2,1.2,2.3,52344,95.4,16.3,
IN,Utica town,89.6,3.4,0.8,1.9,3.4,47833,88.5,9,
IN,Vallonia CDP,98.5,0,0,0.3,1.2,29323,58.6,2.9,
IN,Valparaiso city,89.9,3.3,0.3,2.1,7.1,51082,94.2,12.1,
IN,Van Bibber Lake CDP,98.8,0,0.2,0.6,0.6,18854,88.3,26.8,
IN,Van Buren town,98,0,0.2,0.3,0.9,39688,88.4,16.1,
IN,Veedersburg town,94.8,0.1,0.5,0.1,6.2,54271,84.2,17.5,
IN,Vera Cruz town,93.8,0,0,0,5,37083,86.1,24.3,
IN,Vernon town,97.5,0.3,0,0.3,0.6,41667,89.4,28.5,
IN,Versailles town,98.2,0.2,0,0.3,0.4,41458,89.2,11.9,
IN,Vevay town,97.1,0.5,0,0.5,1.1,35000,81.3,18.5,
IN,Vincennes city,91.9,4.7,0.3,0.7,1.9,35455,85.4,23.9,
IN,Wabash city,96.3,0.4,1,0.5,2,39532,86.2,18.3,
IN,Wakarusa town,96,1,0.1,1,2.4,52372,86.9,5.3,
IN,Waldron CDP,98.1,0,0,0.1,1.5,62321,80,7.2,
IN,Walkerton town,95,0.4,0.7,0.3,5,41156,86,13.8,
IN,Wallace town,100,0,0,0,0,28594,83.3,32.7,
IN,Walton town,93.2,0.3,0.1,0.3,9.5,42974,84.1,13.8,
IN,Wanatah town,96.9,0.1,1,0.2,3,53750,90.8,16.3,
IN,Warren town,98.8,0.1,0.1,0.2,0.4,44088,90.8,10.2,
IN,Warren Park town,78.6,16.1,0.1,0.2,7.3,28727,76.7,32,
IN,Warsaw city,89.5,1.6,0.5,2.2,10.4,46827,90.1,9.1,
IN,Washington city,89.2,1.1,0.3,1.1,9.6,36875,85.9,35.7,
IN,Waterloo town,95.3,0.5,0.1,0,3.8,39167,73.6,18.2,
IN,Waveland town,98.1,0,0.2,0,2.6,45250,83.1,20.2,
IN,Waynetown town,98.3,0.2,0,0,2,45068,86.3,12.7,
IN,West Baden Springs town,93.4,3.1,0.5,0.3,1.4,32813,83.6,13.2,
IN,West College Corner town,97.5,0.3,0.3,0,0.6,29865,77.2,19.6,
IN,Westfield town,90.9,2.2,0.2,2.5,5.8,146734,96.8,3.3,
IN,West Harrison town,99,0.3,0.3,0.3,0.3,24205,73.4,37.2,
IN,West Lafayette city,76.8,2.7,0.1,17.3,3.6,27527,93.9,42.1,
IN,West Lebanon town,99.2,0,0.1,0.3,0.1,40556,87,13.4,
IN,Westphalia CDP,100,0,0,0,0,34722,88.7,46.8,
IN,West Point CDP,98.8,0.2,0,0,2.5,27978,89.5,36.8,
IN,Westport town,98.5,0.1,0.2,0.1,0.9,39875,84.6,11.5,
IN,West Terre Haute town,97.3,0.5,0.6,0,1.3,31178,76,26.6,
IN,Westville town,72.1,25.1,0.2,0.3,6.3,34375,76.9,36.5,
IN,Wheatfield town,95.8,0.8,0,0.1,5.9,46250,93.3,12,
IN,Wheatland town,97.9,0.2,0.2,0,2.9,42422,88.3,9.3,
IN,Wheeler CDP,94.1,0.9,1.8,0.2,4.5,53839,85.9,2.6,
IN,Whiteland town,97,0.4,0.2,0.7,1.8,67679,94.2,4.3,
IN,Whitestown town,90.9,2.8,0.1,2.9,3.5,73402,95.6,8.8,
IN,Whitewater town,100,0,0,0,0,39750,86.5,18.8,
