,Country,Country_code,Year,Gini,real_GDP,cpi,ip,unrate
35,Sweden,SE,1999-01-01,27.57,684977.875,0.10919502109618066,95.23224113374522,7.61
36,Sweden,SE,2000-01-01,27.2,718685.925,0.08192718252127539,100.91659028414306,5.47
37,Sweden,SE,2001-01-01,27.57,729973.875,0.22000112960605073,100.4499625031247,4.73
38,Sweden,SE,2002-01-01,27.57,746210.525,0.17255083422338724,100.64994583784674,4.97
39,Sweden,SE,2003-01-01,25.3,764362.025,0.10622403047802556,102.3331389050911,5.55
40,Sweden,SE,2004-01-01,26.1,793691.125,0.024095569420209982,106.857761853179,6.69
41,Sweden,SE,2005-01-01,26.8,816357.45,0.07389942882705475,109.299225064578,7.49
42,Sweden,SE,2006-01-01,26.4,856303.8,0.1360536954083938,113.098908424298,7.07
43,Sweden,SE,2007-01-01,27.1,886784.05,0.28412032916819613,117.64019665027925,6.16
44,Sweden,SE,2008-01-01,28.1,881401.375,0.0771850441826815,114.32380634947087,6.23
45,Sweden,SE,2009-01-01,27.3,844045.1,0.04814807337546407,94.21714857095239,8.35
46,Sweden,SE,2010-01-01,27.7,891860.475,0.19355840532481342,102.48312640613271,8.61
47,Sweden,SE,2011-01-01,27.6,920923.85,0.18930527602274472,105.00791600699934,7.8
48,Sweden,SE,2012-01-01,27.6,918332.175,-0.0036868912291538,103.74968752603958,7.98
49,Sweden,SE,2013-01-01,28.8,928864.2,0.011982611283557716,98.85009582534784,8.05
50,Sweden,SE,2014-01-01,28.4,954495.825,-0.025430025365973753,97.35022081493203,7.95
51,Sweden,SE,2015-01-01,29.2,994954.75,0.005105915117843113,99.99999999999991,7.43
52,Sweden,SE,2016-01-01,29.6,1013307.65,0.14420811273879935,101.59986667777672,6.99
53,Sweden,SE,2017-01-01,28.8,1041786.475,0.14419023496638808,106.48279310057492,6.72
54,Sweden,SE,2018-01-01,30.0,1062888.575,0.1693951407532423,109.23256395300392,6.36
55,Sweden,SE,2019-01-01,29.3,1084283.8,0.14583581276891214,111.89900841596541,6.83
56,Germany,DE,1993-01-01,28.7,515209.6,4.475430685989982,66.88890740895076,7.961054120932528
57,Germany,DE,1994-01-01,29.2,527895.525,2.694397390499958,69.0390865905492,8.491483059984638
58,Germany,DE,1995-01-01,29.0,536399.275,1.7075007883395208,69.80581715142928,8.208535526264274
59,Germany,DE,1996-01-01,28.4,540964.825,1.44973754883827,69.56413034419535,8.954732864363308
60,Germany,DE,1997-01-01,28.3,551054.35,1.9390395432161358,71.97266438869904,9.912630072321697
61,Germany,DE,1998-01-01,28.3,560934.7,0.9131061211232719,74.85623801983498,9.288559189699825
62,Germany,DE,1999-01-01,29.1,570728.0,0.5852487591689506,75.73131094257855,8.464522639924338
63,Germany,DE,2000-01-01,28.9,588641.65,1.4401718326274449,80.39836653054422,7.799611684585795
64,Germany,DE,2001-01-01,30.1,599323.6,1.9845972781412125,80.7733977831486,7.880469326831882
65,Germany,DE,2002-01-01,29.9,598330.325,1.42241773220272,79.82331860988417,8.703459427102432
66,Germany,DE,2003-01-01,30.1,594078.475,1.0343009846253925,80.00666722226852,9.693362992658923
67,Germany,DE,2004-01-01,30.3,598243.225,1.665485244089933,82.49020751729311,9.849507029259623
68,Germany,DE,2005-01-01,31.8,603645.225,1.5469815770748758,85.54879573297774,11.166370474561676
69,Germany,DE,2006-01-01,31.2,627762.45,1.5786592404972508,90.88257354779564,10.250760004434182
70,Germany,DE,2007-01-01,31.4,647157.3,2.297018424363806,97.17476456371364,8.659104788070104
71,Germany,DE,2008-01-01,30.9,651600.85,2.632501537271424,97.4164513709475,7.525426240768987
